Channel_Owner,Link,Comment_Text,Comment_Users,Comment_ThumbNail
Krish Naik,https://www.youtube.com/watch?v=dPARXQO8dkw,"Happy Teacher's Day. On the occasion of this auspicious day we at @iNeuron Intelligence are offering 30% off on all the courses. Use Krish30 as the coupon code. Happy Learning!!

Check out all the courses link below. This offer is valid till 10th September

FSDS Bootcamp 2.0 With Job Guaranteed: https://bit.ly/3qalRaF

Data Science Industry Ready Projects : https://bit.ly/3qAkLVX",,https://yt3.ggpht.com/ytc/AMLnZu_Ow7V1PyNJXmvxUmamZqNR3IMT94rkYdJ0mz-8xQ=s88-c-k-c0x00ffffff-no-rj
Krish Naik,https://www.youtube.com/watch?v=dPARXQO8dkw,"krish naik, Sudhanshu, Hitesh sir, 
thanks a lot for your restless efforts to create a better tech india. Making high quality education easily accessible. Lots of gratitude",JustLearn,https://yt3.ggpht.com/J2AvLGc2D4TIH8Oy-6fwqKHKpJ8L89VwYoVhDQd3nqyO-ZLj74j3iqclla-c-v1iGK2IA6lpIA=s88-c-k-c0x00ffffff-no-rj
Krish Naik,https://www.youtube.com/watch?v=dPARXQO8dkw,"Sir, will our work be saved there if we logout this or it will be removed from there ?",priyanshu agrawal,https://yt3.ggpht.com/UlcNrvuYTiSoNRz0xp8PY8Y5aRqI34VAvzZvyK89hLQ1OIdwhhPg_yQLtHLhW17f7hZ-GcfH=s88-c-k-c0x00ffffff-no-rj
Krish Naik,https://www.youtube.com/watch?v=dPARXQO8dkw,"please create a video with AWS for project. 
it will be amazing",Sarad Mishra,https://yt3.ggpht.com/ytc/AMLnZu9c8FZLn5OiRScL5mISoPyctiv08zmBQtSfI6GWWNE=s88-c-k-c0x00ffffff-no-rj
Krish Naik,https://www.youtube.com/watch?v=dPARXQO8dkw,"Hi krish, plz launch a data analytics job guarantee bootcamp..",Luv Official,https://yt3.ggpht.com/ytc/AMLnZu9KsnJYm6HSPh1ZIk1t4eTg9LohawXzJUWo4qczuQU_lJFgS8lKYEnt1AWTLmhE=s88-c-k-c0x00ffffff-no-rj
Krish Naik,https://www.youtube.com/watch?v=dPARXQO8dkw,Sir how to get acces if already enrolled in course i.e. Big data bootcamp ?,Shubham Muley,https://yt3.ggpht.com/ytc/AMLnZu9nYixPFHsarj2VmZN4Eu4QUX_f1Ucy4dLQkMsC6w=s88-c-k-c0x00ffffff-no-rj
Krish Naik,https://www.youtube.com/watch?v=dPARXQO8dkw,No words ,Vanama Yaswanth,https://yt3.ggpht.com/ytc/AMLnZu-Dj7PeFWApYaXEtwiHjBToGF9PA1ZTAIvObkK4fTo=s88-c-k-c0x00ffffff-no-rj
Krish Naik,https://www.youtube.com/watch?v=dPARXQO8dkw,I have to join your hindi Chanel membership but not done many time payments I don't know what the reason. Sir,Ashish Chaurasiya,https://yt3.ggpht.com/EQhdIpTUttjHPs_LyR5BvrkIpV1l1EFxgmI7Zwb1VpAqiE7r7kHUNSLeHfl6G40jWzzSn8vK=s88-c-k-c0x00ffffff-no-rj
Krish Naik,https://www.youtube.com/watch?v=dPARXQO8dkw,I did see some mock interviews for data analysts. the interviewers did not ask statistics questions .why?  Are Statistics not necessary for data analysts?,uday kiran,https://yt3.ggpht.com/ytc/AMLnZu_UxJmL9E1TkJkFigkE9jDvyj3ZH5xIXbmAvhHvNUrI4XFb9Qnsq7i04EhXdbnX=s88-c-k-c0x00ffffff-no-rj
Krish Naik,https://www.youtube.com/watch?v=dPARXQO8dkw,just wow...,Krishna Sahoo,https://yt3.ggpht.com/ytc/AMLnZu9DFJc9tJ4ENWIZzYCSRvxE6FAXNUWCBr4ErCuzUZY=s88-c-k-c0x00ffffff-no-rj
